Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2015-01-02,24.3471736907959,15.425999641418457,26.381864547729492,40.15248107910156,14.620667457580566
2015-01-05,23.66127586364746,15.10949993133545,25.87918472290039,39.78325271606445,14.005999565124512
2015-01-06,23.66350746154785,14.76449966430664,25.240501403808594,39.1993522644043,14.085332870483398
2015-01-07,23.995317459106445,14.920999526977539,25.166271209716797,39.69737243652344,14.063332557678223
2015-01-08,24.91727066040039,15.02299976348877,25.25395393371582,40.86520004272461,14.041333198547363
2015-01-09,24.94399642944336,14.846500396728516,24.94556999206543,40.5217170715332,13.77733325958252
2015-01-12,24.329349517822266,14.570500373840332,24.76323127746582,40.015079498291016,13.480667114257812
2015-01-13,24.545372009277344,14.737000465393066,24.999374389648438,39.80900573730469,13.616666793823242
2015-01-14,24.45183753967285,14.66349983215332,25.205129623413086,39.465518951416016,12.845999717712402
2015-01-15,23.788209915161133,14.34749984741211,25.10947608947754,39.053367614746094,12.791333198547363
2015-01-16,23.60338020324707,14.536999702453613,25.430810928344727,39.705955505371094,12.871333122253418
2015-01-20,24.211326599121094,14.472000122070312,25.404903411865234,39.83476257324219,12.795332908630371
2015-01-21,24.39616584777832,14.862500190734863,25.925518035888672,39.431175231933594,13.104666709899902
2015-01-22,25.03083610534668,15.515999794006348,26.767963409423828,40.47020721435547,13.441332817077637
2015-01-23,25.160005569458008,15.619500160217285,26.999624252319336,40.51313400268555,13.419333457946777
2015-01-26,25.186729431152344,15.482999801635742,26.73906898498535,40.36715316772461,13.770000457763672
2015-01-27,24.30485725402832,15.337499618530273,25.96537208557129,36.6318359375,13.732000350952148
2015-01-28,25.67888641357422,15.195500373840332,25.528955459594727,35.36955642700195,13.291333198547363
2015-01-29,26.47835922241211,15.58899974822998,25.568811416625977,36.073692321777344,13.680000305175781
2015-01-30,26.09086799621582,17.726499557495117,26.780418395996094,34.69120407104492,13.573332786560059
2015-02-02,26.418224334716797,18.223499298095703,26.513885498046875,35.44683837890625,14.062666893005371
2015-02-03,26.422677993774414,18.177499771118164,26.568687438964844,35.72163772583008,14.557332992553711
2015-02-04,26.625333786010742,18.237499237060547,26.20998764038086,35.92771530151367,14.569999694824219
2015-02-05,26.81537437438965,18.694499969482422,26.39581298828125,36.451515197753906,14.732666969299316
2015-02-06,26.589567184448242,18.714000701904297,26.597583770751953,36.41716003417969,14.490667343139648
2015-02-09,26.766183853149414,18.527999877929688,26.3684139251709,36.37424087524414,14.498666763305664
2015-02-10,27.28040313720703,18.649999618530273,26.910446166992188,36.58030700683594,14.419333457946777
2015-02-11,27.919818878173828,18.756999969482422,26.802837371826172,36.39140319824219,14.186667442321777
2015-02-12,28.273069381713867,18.85849952697754,27.201892852783203,37.00108337402344,13.525333404541016
2015-02-13,28.41168785095215,19.09149932861328,27.45846176147461,37.67086410522461,13.584667205810547
2015-02-17,28.579364776611328,18.771499633789062,27.15207290649414,37.68815994262695,13.623332977294922
2015-02-18,28.77834701538086,18.668500900268555,27.034496307373047,37.644920349121094,13.630666732788086
2015-02-19,28.717981338500977,18.950000762939453,27.223812103271484,37.618980407714844,14.11400032043457
2015-02-20,28.95273208618164,19.183000564575195,26.992151260375977,37.930301666259766,14.473999977111816
2015-02-23,29.735239028930664,19.006999969482422,26.653379440307617,38.18109130859375,13.822667121887207
2015-02-24,29.549671173095703,18.929500579833984,26.835220336914062,38.129207611083984,13.607333183288574
2015-02-25,28.793994903564453,19.26849937438965,27.26765251159668,38.0427360534668,13.583999633789062
2015-02-26,29.158418655395508,19.239999771118164,27.863492965698242,38.10325622558594,13.812666893005371
2015-02-27,28.720216751098633,19.007999420166016,28.029890060424805,37.92164993286133,13.555999755859375
2015-03-02,28.861064910888672,19.283000946044922,28.64715003967285,37.947593688964844,13.155332565307617
2015-03-03,28.921428680419922,19.230499267578125,28.834970474243164,37.428714752197266,13.303999900817871
2015-03-04,28.73809814453125,19.13599967956543,28.812053680419922,37.23845672607422,13.496000289916992
2015-03-05,28.261890411376953,19.39150047302246,28.966495513916016,37.281700134277344,13.375332832336426
2015-03-06,28.304372787475586,19.004499435424805,28.541536331176758,36.63310623168945,12.925333023071289
2015-03-09,28.425100326538086,18.92799949645996,28.601318359375,37.056846618652344,12.725333213806152
2015-03-10,27.83710289001465,18.475500106811523,27.89139175415039,36.34772491455078,12.687999725341797
2015-03-11,27.329591751098633,18.318500518798828,27.68414306640625,36.30447006225586,12.916000366210938
2015-03-12,27.82369041442871,18.711999893188477,27.957155227661133,35.47425842285156,12.73799991607666
2015-03-13,27.631412506103516,18.52899932861328,27.550128936767578,35.785587310791016,12.578666687011719
2015-03-16,27.935470581054688,18.667499542236328,27.98056983947754,35.94126510620117,13.046667098999023
2015-03-17,28.402738571166992,18.59600067138672,27.779794692993164,36.062339782714844,12.982000350952148
2015-03-18,28.722454071044922,18.756999969482422,28.205753326416016,36.754173278808594,13.380666732788086
2015-03-19,28.505586624145508,18.66200065612793,28.081703186035156,36.57255172729492,13.043333053588867
2015-03-20,28.147871017456055,18.92449951171875,28.145469665527344,37.082794189453125,13.20533275604248
2015-03-23,28.44074821472168,18.75550079345703,28.16639518737793,37.06549072265625,13.308667182922363
2015-03-24,28.324493408203125,18.704500198364258,28.77269744873047,37.10008239746094,13.447999954223633
2015-03-25,27.584463119506836,18.54800033569336,28.247600555419922,35.85476303100586,12.953332901000977
2015-03-26,27.7767391204834,18.36750030517578,28.08020782470703,35.63856506347656,12.694000244140625
